date;peg_nord;trs;peg;ttf;zee;nbp;ncg;gaspool;psv
2009-06;10.870000000000005;11.515000000000004;;10.910366666666665;;;;;
2010-09;18.821666666666662;18.721666666666668;;18.869500000000002;;;18.86366666666667;18.989333333333327;
2010-12;24.65000000000001;24.47129032258064;;24.08516129032258;;;24.390000000000004;24.494516129032267;
2011-01;22.799677419354836;22.72064516129032;;22.73780645161291;;;22.863548387096774;22.82967741935484;
2011-02;21.93035714285714;21.897142857142853;;21.711571428571432;;;21.844642857142848;21.904999999999994;
2011-03;23.93032258064516;23.948064516129033;;23.831225806451616;;;23.741290322580642;23.78645161290322;
2011-05;22.83225806451613;22.794838709677418;;22.825161290322576;;;22.77548387096774;22.879354838709673;
2011-06;22.737333333333336;22.741999999999997;;22.73806666666667;;;22.692999999999998;22.676000000000002;
2012-01;22.43967741935484;22.677419354838708;;21.727129032258066;;;22.169032258064515;22.146129032258063;31.7
2012-04;25.06833333333334;26.789333333333335;;24.79883333333333;;;25.119666666666664;24.830333333333332;28.8
2012-09;25.855666666666668;28.596666666666675;;25.564;60.03;60.491666666666674;25.63266666666667;25.455666666666666;27.046666666666667
2012-10;26.944838709677423;27.827096774193546;;26.64032258064517;62.949999999999996;64.39999999999999;26.785161290322577;26.774838709677415;27.514516129032252
2013-03;31.780322580645166;34.419032258064526;;31.399999999999995;79.18709677419355;85.35516129032258;30.546451612903223;30.45967741935485;28.475806451612897
2013-04;30.173333333333346;31.35633333333334;;28.331666666666667;70.93100000000001;71.58333333333333;28.365000000000002;28.181333333333335;29.243333333333332
2013-05;27.127096774193554;30.58580645161291;;26.652903225806444;66.23000000000002;66.07903225806452;26.919709677419352;26.991096774193547;28.33387096774194
2013-11;27.283666666666665;30.91766666666667;;27.00533333333334;66.157;67.55933333333333;27.231266666666674;27.47643333333333;28.020999999999997
2014-02;24.006428571428565;29.394999999999992;;23.92571428571429;57.92857142857142;59.296428571428585;24.234749999999995;24.185857142857145;25.00357142857143
2014-09;21.318666666666665;27.062333333333324;;20.466666666666672;47.80266666666667;48.276666666666664;21.08696666666667;20.884000000000004;23.934
2015-07;20.876451612903224;21.21483870967742;;20.79741935483871;43.03548387096773;43.563870967741934;20.99612903225806;20.944870967741934;23.131612903225804
2015-12;15.964193548387096;17.478709677419356;;15.660967741935485;33.14806451612904;34.497741935483866;15.826451612903226;15.844612903225803;18.75161290322581
2016-01;14.16225806451613;14.59290322580645;;13.930322580645164;30.691935483870974;31.969677419354845;14.354193548387096;14.324258064516131;15.77612903225806
2016-02;12.573103448275862;13.035862068965516;;12.387931034482758;28.034137931034472;29.717241379310344;12.801379310344828;12.730896551724141;13.664137931034485
2016-06;14.330999999999998;14.610666666666669;;14.383666666666668;33.021;34.50333333333334;14.434666666666663;14.448300000000001;15.997000000000002
2016-12;18.191290322580645;21.559354838709677;;17.67548387096774;44.20387096774194;46.3016129032258;17.880322580645156;16.966774193548392;19.69322580645162
2017-03;15.903548387096775;15.888387096774196;;15.834516129032254;39.75354838709677;41.13;16.395806451612906;14.127741935483872;17.794516129032257
2017-05;15.565806451612904;15.933870967741937;;15.625806451612906;38.54419354838709;39.54032258064517;15.986774193548381;0.0;18.144193548387097
2017-09;17.0705;17.4723;;17.151633333333333;44.626666666666665;45.95033333333335;17.181433333333334;17.068566666666666;18.534333333333333
2020-05;;;4.514677419354839;4.589225806451613;13.041935483870976;11.555806451612904;5.156322580645161;5.062741935483871;6.561935483870968
2020-08;;;7.237741935483873;7.232387096774194;18.24838709677419;19.913870967741932;7.1484516129032265;7.324032258064516;8.155806451612904
2020-12;;;16.12296774193548;16.200870967741935;42.43725806451613;45.38467741935484;15.778612903225806;16.17641935483871;16.387741935483874
2021-03;;;17.344258064516126;17.700838709677413;43.505645161290325;45.075;17.997838709677417;17.92387096774194;18.195161290322584
2021-08;;;43.70341935483871;43.841903225806455;108.25806451612904;108.62903225806451;43.581161290322584;43.410032258064525;42.20967741935484
2022-01;;;83.10696774193549;84.33164516129034;198.59435483870965;192.03064516129032;84.9138064516129;84.9138064516129;86.13112903225804
2009-02;19.404999999999994;;;18.92667857142857;;;;;
2009-05;11.225483870967748;11.485483870967743;;11.091161290322578;;;;;
2010-03;12.31709677419355;12.421612903225808;;11.879838709677419;;;12.143870967741934;;
2010-06;18.67433333333333;18.738666666666663;;18.836699999999997;;;18.851;19.335333333333327;
2010-11;19.464333333333336;19.34966666666667;;19.228766666666672;;;19.401000000000007;19.433333333333334;
2011-10;22.49967741935483;22.59387096774194;;22.49103225806451;;;22.583225806451615;22.747096774193547;
2012-02;27.472413793103446;27.881379310344826;;26.507206896551722;;;26.993793103448283;26.83655172413793;34.7
2012-03;24.12;25.15032258064516;;23.852258064516132;;;24.310322580645156;24.2341935483871;29.0
2012-06;23.844666666666665;26.540000000000006;;23.68983333333334;;;23.97666666666667;23.84466666666667;27.6
2013-08;25.896129032258063;26.364838709677418;;25.315806451612904;64.17838709677419;64.58709677419354;25.75609677419354;25.8346129032258;27.34387096774194
2013-09;27.008666666666674;28.19066666666667;;26.462999999999997;65.35966666666668;65.75833333333334;26.612733333333328;26.583233333333336;27.945333333333334
2015-04;21.962999999999997;22.07533333333333;;22.177;46.40099999999998;47.40366666666667;22.034933333333335;21.909066666666668;23.296666666666663
2015-06;20.697000000000003;21.154666666666667;;20.55633333333333;42.96966666666666;43.48500000000001;20.658033333333325;20.670833333333334;22.04833333333333
2015-08;19.488709677419358;20.236774193548378;;19.593225806451613;40.281612903225806;39.99387096774195;19.84967741935484;19.72535483870968;21.855806451612903
2016-04;12.199666666666667;12.271333333333335;;12.012333333333334;27.776666666666674;29.353333333333335;12.093000000000002;12.197533333333334;13.690333333333333
2017-04;15.93566666666667;16.17833333333333;;15.953666666666662;38.73333333333334;39.67666666666667;16.427666666666667;1.062;18.061999999999998
2017-07;14.755806451612901;15.175483870967742;;15.089032258064515;38.06354838709678;36.38387096774194;15.292258064516131;15.159032258064519;17.53838709677419
2017-10;17.122548387096774;17.820612903225804;;16.897161290322583;43.70903225806451;44.88387096774195;17.1978064516129;17.12174193548387;19.11225806451613
2017-12;21.347709677419353;24.096612903225807;;20.740903225806456;55.111935483870965;58.487096774193546;20.673225806451615;20.213516129032254;25.628387096774194
2018-01;18.74496774193548;18.817064516129026;;18.65290322580645;48.67741935483872;50.48870967741934;18.541225806451617;18.479225806451616;19.870322580645162
2018-02;20.74667857142857;20.784928571428573;;20.134928571428578;52.54964285714285;55.66785714285714;19.967214285714284;19.659821428571423;22.408928571428568
2018-06;21.67393333333333;24.20583333333334;;21.920266666666667;55.919;55.19933333333334;21.88333333333333;21.975000000000005;23.788666666666657
2018-08;23.395064516129032;26.54696774193549;;23.67096774193549;61.41451612903227;62.33709677419355;23.606903225806448;23.867870967741933;25.26935483870967
2018-09;27.518133333333328;28.2963;;27.646966666666664;72.14599999999999;73.36333333333336;27.600500000000004;27.56616666666667;28.923000000000002
2019-02;;;18.316892857142854;18.121178571428572;46.26285714285712;47.574999999999996;18.748571428571427;18.391178571428572;20.536785714285713
